mode,label,kelly_fraction,max_pct_per_trade,max_position_usd,fixed_usd,final_bankroll,pnl,roi_pct,n_trades,win_rate,max_drawdown_pct,sharpe_daily
kelly,kelly×0.75 cap25% max$1000,0.75,0.25,1000.0,,968783.2744956206,968683.2744956206,968683.2744956205,11561,0.5342963411469596,-87.3663853651068,8.06267488285421
kelly,kelly×1.00 cap25% max$1000,1.0,0.25,1000.0,,960900.2296335651,960800.2296335651,960800.2296335652,11561,0.5342963411469596,-94.87400211612767,8.000377756392602
kelly,kelly×0.50 cap25% max$1000,0.5,0.25,1000.0,,952626.9767127505,952526.9767127505,952526.9767127505,11561,0.5342963411469596,-72.70439799530091,8.002490717953913
kelly,kelly×0.50 cap15% max$1000,0.5,0.15,1000.0,,947254.4476996638,947154.4476996638,947154.4476996638,11561,0.5342963411469596,-72.70439799530088,7.973377106471463
kelly,kelly×0.75 cap15% max$1000,0.75,0.15,1000.0,,945577.3202077207,945477.3202077207,945477.3202077207,11561,0.5342963411469596,-84.21676889522574,7.933407915809188
kelly,kelly×1.00 cap15% max$1000,1.0,0.15,1000.0,,932343.3125284264,932243.3125284264,932243.3125284264,11561,0.5342963411469596,-90.98830949220238,7.856279043245519
kelly,kelly×0.75 cap10% max$1000,0.75,0.1,1000.0,,926597.856025189,926497.856025189,926497.8560251889,11561,0.5342963411469596,-76.4604479068316,7.85141317123827
kelly,kelly×1.00 cap10% max$1000,1.0,0.1,1000.0,,922835.2637206174,922735.2637206174,922735.2637206173,11561,0.5342963411469596,-83.97081674780522,7.824076192483553
kelly,kelly×0.50 cap10% max$1000,0.5,0.1,1000.0,,910378.0918462955,910278.0918462955,910278.0918462955,11561,0.5342963411469596,-68.15343723765872,7.742960069297842
kelly,kelly×1.00 cap5% max$1000,1.0,0.05,1000.0,,878189.7329497486,878089.7329497486,878089.7329497486,11561,0.5342963411469596,-73.66537917904238,7.569001717284881
kelly,kelly×0.25 cap25% max$1000,0.25,0.25,1000.0,,872337.1682013262,872237.1682013262,872237.1682013262,11545,0.5340840190558683,-45.68699908543882,7.597134774251693
kelly,kelly×0.25 cap15% max$1000,0.25,0.15,1000.0,,872337.1682013262,872237.1682013262,872237.1682013262,11545,0.5340840190558683,-45.68699908543882,7.597134774251693
kelly,kelly×0.75 cap5% max$1000,0.75,0.05,1000.0,,869003.2260524528,868903.2260524528,868903.2260524527,11561,0.5342963411469596,-66.23030792528765,7.508575928240814
kelly,kelly×0.25 cap10% max$1000,0.25,0.1,1000.0,,867835.6735191104,867735.6735191104,867735.6735191104,11545,0.5340840190558683,-45.68699908543877,7.57072880783881
kelly,kelly×0.50 cap5% max$1000,0.5,0.05,1000.0,,857973.6961970392,857873.6961970392,857873.6961970391,11561,0.5342963411469596,-60.2648950822853,7.467388809048392
kelly,kelly×0.25 cap5% max$1000,0.25,0.05,1000.0,,816712.973561664,816612.973561664,816612.973561664,11539,0.5341017419187105,-41.67311695617534,7.250752821867568
kelly,kelly×0.10 cap25% max$1000,0.1,0.25,1000.0,,578305.6641534464,578205.6641534464,578205.6641534464,11245,0.5349933303690529,-46.340626017134745,6.6490950337166455
kelly,kelly×0.10 cap10% max$1000,0.1,0.1,1000.0,,578305.6641534464,578205.6641534464,578205.6641534464,11245,0.5349933303690529,-46.340626017134745,6.6490950337166455
kelly,kelly×0.10 cap15% max$1000,0.1,0.15,1000.0,,578305.6641534464,578205.6641534464,578205.6641534464,11245,0.5349933303690529,-46.340626017134745,6.6490950337166455
kelly,kelly×0.10 cap5% max$1000,0.1,0.05,1000.0,,572265.4054114874,572165.4054114874,572165.4054114874,11238,0.5348816515394198,-46.86044456129453,6.624661011195559
kelly,kelly×0.75 cap25% max$500,0.75,0.25,500.0,,489429.33245087456,489329.33245087456,489329.3324508745,11561,0.5342963411469596,-87.3663853651068,8.121834566027447
kelly,kelly×1.00 cap25% max$500,1.0,0.25,500.0,,486755.16487188486,486655.16487188486,486655.16487188486,11561,0.5342963411469596,-93.21972476093183,8.072745484437378
kelly,kelly×0.50 cap25% max$500,0.5,0.25,500.0,,484624.01748477237,484524.01748477237,484524.0174847724,11561,0.5342963411469596,-72.70439799530091,8.096513376120877
kelly,kelly×0.75 cap15% max$500,0.75,0.15,500.0,,480802.23678774404,480702.23678774404,480702.236787744,11561,0.5342963411469596,-84.21676889522574,8.027429687562025
kelly,kelly×0.50 cap15% max$500,0.5,0.15,500.0,,479061.89881858573,478961.89881858573,478961.89881858573,11561,0.5342963411469596,-72.70439799530088,8.030493972931037
kelly,kelly×1.00 cap15% max$500,1.0,0.15,500.0,,478730.19203062425,478630.19203062425,478630.1920306242,11561,0.5342963411469596,-90.98830949220238,7.984924699042802
kelly,kelly×1.00 cap10% max$500,1.0,0.1,500.0,,473029.98749648855,472929.98749648855,472929.9874964886,11561,0.5342963411469596,-83.97081674780522,7.912244243407151
kelly,kelly×0.75 cap10% max$500,0.75,0.1,500.0,,472695.4198197029,472595.4198197029,472595.41981970286,11561,0.5342963411469596,-76.4604479068316,7.928643770494004
kelly,kelly×0.50 cap10% max$500,0.5,0.1,500.0,,469774.98776381864,469674.98776381864,469674.98776381864,11561,0.5342963411469596,-68.15343723765872,7.930547071663714
kelly,kelly×1.00 cap5% max$500,1.0,0.05,500.0,,452764.61810220574,452664.61810220574,452664.6181022057,11561,0.5342963411469596,-73.66537917904238,7.719132987520542
kelly,kelly×0.25 cap25% max$500,0.25,0.25,500.0,,445431.4425747948,445331.4425747948,445331.4425747948,11545,0.5340840190558683,-45.68699908543882,7.691923476997339
kelly,kelly×0.25 cap15% max$500,0.25,0.15,500.0,,445431.4425747948,445331.4425747948,445331.4425747948,11545,0.5340840190558683,-45.68699908543882,7.691923476997339
kelly,kelly×0.25 cap10% max$500,0.25,0.1,500.0,,443777.02346011857,443677.02346011857,443677.02346011857,11545,0.5340840190558683,-45.68699908543877,7.6762451483897705
kelly,kelly×0.75 cap5% max$500,0.75,0.05,500.0,,442628.12221269176,442528.12221269176,442528.12221269176,11561,0.5342963411469596,-66.23030792528765,7.578237098532216
kelly,kelly×0.50 cap5% max$500,0.5,0.05,500.0,,439474.33984614257,439374.33984614257,439374.33984614257,11561,0.5342963411469596,-60.2648950822853,7.566635664670835
kelly,kelly×0.25 cap5% max$500,0.25,0.05,500.0,,421569.07898138644,421469.07898138644,421469.07898138644,11539,0.5341017419187105,-41.67311695617534,7.423036599902267
kelly,kelly×0.10 cap25% max$500,0.1,0.25,500.0,,310526.50468167145,310426.50468167145,310426.50468167145,11245,0.5349933303690529,-40.77653462212829,6.728533355592201
kelly,kelly×0.10 cap10% max$500,0.1,0.1,500.0,,310526.50468167145,310426.50468167145,310426.50468167145,11245,0.5349933303690529,-40.77653462212829,6.728533355592201
kelly,kelly×0.10 cap15% max$500,0.1,0.15,500.0,,310526.50468167145,310426.50468167145,310426.50468167145,11245,0.5349933303690529,-40.77653462212829,6.728533355592201
kelly,kelly×0.10 cap5% max$500,0.1,0.05,500.0,,308767.67187600204,308667.67187600204,308667.67187600204,11238,0.5348816515394198,-41.617184974687845,6.731218628064328
kelly,kelly×0.75 cap25% max$250,0.75,0.25,250.0,,249030.9750176835,248930.9750176835,248930.97501768346,11561,0.5342963411469596,-79.4209837502701,8.209289543891169
kelly,kelly×1.00 cap25% max$250,1.0,0.25,250.0,,248969.300504784,248869.300504784,248869.30050478398,11561,0.5342963411469596,-84.83829364821092,8.189612145169495
kelly,kelly×0.50 cap25% max$250,0.5,0.25,250.0,,245917.61604740963,245817.61604740963,245817.61604740963,11561,0.5342963411469596,-72.70439799530091,8.183741329111774
kelly,kelly×0.50 cap15% max$250,0.5,0.15,250.0,,244056.36770464014,243956.36770464014,243956.36770464017,11561,0.5342963411469596,-72.70439799530088,8.14093174682482
kelly,kelly×0.75 cap15% max$250,0.75,0.15,250.0,,242929.77011547197,242829.77011547197,242829.77011547197,11561,0.5342963411469596,-84.21676889522574,8.075511417622424
kelly,kelly×1.00 cap15% max$250,1.0,0.15,250.0,,242299.00805975957,242199.00805975957,242199.00805975957,11561,0.5342963411469596,-90.98830949220238,8.041838995437425
kelly,kelly×0.75 cap10% max$250,0.75,0.1,250.0,,241479.5518054609,241379.5518054609,241379.5518054609,11561,0.5342963411469596,-76.4604479068316,8.049351382149608
kelly,kelly×1.00 cap10% max$250,1.0,0.1,250.0,,241371.32243348984,241271.32243348984,241271.32243348984,11561,0.5342963411469596,-83.97081674780522,8.022043019569729
kelly,kelly×0.50 cap10% max$250,0.5,0.1,250.0,,238886.49766986872,238786.49766986872,238786.49766986872,11561,0.5342963411469596,-68.15343723765872,8.014185393149996
kelly,kelly×1.00 cap5% max$250,1.0,0.05,250.0,,232966.53653899438,232866.53653899438,232866.53653899438,11561,0.5342963411469596,-73.66537917904238,7.883507668212262
kelly,kelly×0.75 cap5% max$250,0.75,0.05,250.0,,232245.8266881717,232145.8266881717,232145.8266881717,11561,0.5342963411469596,-66.23030792528765,7.871501261709091
kelly,kelly×0.50 cap5% max$250,0.5,0.05,250.0,,227717.32035751242,227617.32035751242,227617.32035751242,11561,0.5342963411469596,-53.01954346471812,7.746278139016801
kelly,kelly×0.25 cap25% max$250,0.25,0.25,250.0,,226643.26416129692,226543.26416129692,226543.26416129692,11545,0.5340840190558683,-45.68699908543882,7.766182046723637
kelly,kelly×0.25 cap15% max$250,0.25,0.15,250.0,,226643.26416129692,226543.26416129692,226543.26416129692,11545,0.5340840190558683,-45.68699908543882,7.766182046723637
kelly,kelly×0.25 cap10% max$250,0.25,0.1,250.0,,226063.96406092212,225963.96406092212,225963.96406092212,11545,0.5340840190558683,-45.68699908543877,7.756048226619234
kelly,kelly×0.25 cap5% max$250,0.25,0.05,250.0,,217616.68364563768,217516.68364563768,217516.68364563765,11539,0.5341017419187105,-41.67311695617534,7.5838014653543215
kelly,kelly×0.10 cap10% max$250,0.1,0.1,250.0,,166630.37573950627,166530.37573950627,166530.37573950627,11245,0.5349933303690529,-31.867312100214658,6.7885700355809515
kelly,kelly×0.10 cap25% max$250,0.1,0.25,250.0,,166630.37573950627,166530.37573950627,166530.37573950627,11245,0.5349933303690529,-31.867312100214658,6.7885700355809515
kelly,kelly×0.10 cap15% max$250,0.1,0.15,250.0,,166630.37573950627,166530.37573950627,166530.37573950627,11245,0.5349933303690529,-31.867312100214658,6.7885700355809515
kelly,kelly×0.10 cap5% max$250,0.1,0.05,250.0,,165512.7335170731,165412.7335170731,165412.7335170731,11238,0.5348816515394198,-32.39084355354873,6.77875800174712
kelly,kelly×0.75 cap25% max$100,0.75,0.25,100.0,,100871.31645022602,100771.31645022602,100771.31645022602,11561,0.5342963411469596,-67.2461178736525,8.24613394623724
kelly,kelly×1.00 cap25% max$100,1.0,0.25,100.0,,100738.67669029126,100638.67669029126,100638.67669029126,11561,0.5342963411469596,-79.56418027041141,8.216895208541885
kelly,kelly×0.50 cap25% max$100,0.5,0.25,100.0,,99806.78835004201,99706.78835004201,99706.78835004201,11561,0.5342963411469596,-66.00504096993025,8.235756093919935
kelly,kelly×0.75 cap15% max$100,0.75,0.15,100.0,,99575.21682661942,99475.21682661942,99475.21682661942,11561,0.5342963411469596,-75.91140945430439,8.201150385835922
kelly,kelly×0.50 cap15% max$100,0.5,0.15,100.0,,99208.64829033824,99108.64829033824,99108.64829033824,11561,0.5342963411469596,-68.43275989301951,8.214161430508325
kelly,kelly×1.00 cap15% max$100,1.0,0.15,100.0,,98869.53473966195,98769.53473966195,98769.53473966195,11561,0.5342963411469596,-86.05646184832891,8.156980913194984
kelly,kelly×1.00 cap10% max$100,1.0,0.1,100.0,,98138.04732129212,98038.04732129212,98038.04732129212,11561,0.5342963411469596,-83.97081674780522,8.124574218937827
kelly,kelly×0.75 cap10% max$100,0.75,0.1,100.0,,98040.12677748877,97940.12677748877,97940.12677748877,11561,0.5342963411469596,-76.4604479068316,8.124501990667149
kelly,kelly×0.50 cap10% max$100,0.5,0.1,100.0,,97928.37355648236,97828.37355648236,97828.37355648236,11561,0.5342963411469596,-68.15343723765872,8.154174182002436
kelly,kelly×1.00 cap5% max$100,1.0,0.05,100.0,,95896.75631078176,95796.75631078176,95796.75631078176,11561,0.5342963411469596,-73.66537917904238,7.9883224264274855
kelly,kelly×0.75 cap5% max$100,0.75,0.05,100.0,,95593.21508280469,95493.21508280469,95493.21508280469,11561,0.5342963411469596,-66.23030792528765,7.987081177220525
kelly,kelly×0.50 cap5% max$100,0.5,0.05,100.0,,95063.28892795653,94963.28892795653,94963.28892795653,11561,0.5342963411469596,-53.01954346471812,7.978966232148933
kelly,kelly×0.25 cap25% max$100,0.25,0.25,100.0,,93536.91843239307,93436.91843239307,93436.91843239307,11545,0.5340840190558683,-45.68699908543882,7.928074829614873
kelly,kelly×0.25 cap15% max$100,0.25,0.15,100.0,,93536.91843239307,93436.91843239307,93436.91843239307,11545,0.5340840190558683,-45.68699908543882,7.928074829614873
kelly,kelly×0.25 cap10% max$100,0.25,0.1,100.0,,93181.78061702778,93081.78061702778,93081.78061702778,11545,0.5340840190558683,-45.68699908543877,7.904235742131805
kelly,kelly×0.25 cap5% max$100,0.25,0.05,100.0,,90190.01976530063,90090.01976530063,90090.01976530063,11539,0.5341017419187105,-41.67311695617534,7.740996385830794
kelly,kelly×0.10 cap10% max$100,0.1,0.1,100.0,,72399.48039835942,72299.48039835942,72299.48039835942,11245,0.5349933303690529,-27.312975103883176,6.950794836624491
kelly,kelly×0.10 cap15% max$100,0.1,0.15,100.0,,72399.48039835942,72299.48039835942,72299.48039835942,11245,0.5349933303690529,-27.312975103883176,6.950794836624491
kelly,kelly×0.10 cap25% max$100,0.1,0.25,100.0,,72399.48039835942,72299.48039835942,72299.48039835942,11245,0.5349933303690529,-27.312975103883176,6.950794836624491
kelly,kelly×0.10 cap5% max$100,0.1,0.05,100.0,,71963.33035917672,71863.33035917672,71863.33035917672,11238,0.5348816515394198,-27.463730755430515,6.934963369010396
fixed,fixed $10,,,,10.0,10454.96644723897,10354.96644723897,10354.96644723897,11561,0.5342963411469596,-61.4659825079155,8.211422902029925
fixed,fixed $5,,,,5.0,5277.483223619488,5177.483223619488,5177.483223619488,11561,0.5342963411469596,-38.14683438699266,8.211422902029925
fixed,fixed $2,,,,2.0,2170.9932894479475,2070.9932894479475,2070.9932894479475,11561,0.5342963411469596,-25.044583227973632,8.211422902029925
fixed,fixed $1,,,,1.0,1135.4966447239692,1035.4966447239692,1035.4966447239692,11561,0.5342963411469596,-16.453938678453774,8.211422902029925
fixed,fixed $0,,,,0.5,617.7483223619769,517.7483223619769,517.7483223619769,11561,0.5342963411469596,-9.758994046805924,8.211422902029925
fixed,fixed $25,,,,25.0,19.599533212506305,-80.4004667874937,-80.4004667874937,30,0.4666666666666667,-92.43158136056996,-1.0330786330131427
fixed,fixed $50,,,,50.0,-1.2143744638850649,-101.21437446388506,-101.21437446388506,29,0.4827586206896552,-100.29056927287796,-1.0330786330131425
